objectid,nom,commune_code,commune_name,postal_code,department_code,x_coord,y_coord,adresse_ua,nature_u_1,patronyme,secteur_pu
1724,Ecole primaire ANTOINE CHANTIN,75114,PARIS,75014,75,650272.5,6858790.6045,20 rue Antoine Chantin,ECOLE DE NIVEAU ELEMENTAIRE,ANTOINE CHANTIN,Public
1725,Ecole primaire BOISSIERE,75116,PARIS,75016,75,647760.799999997,6863359.5045,56 rue Boissière,ECOLE DE NIVEAU ELEMENTAIRE,BOISSIERE,Public
1726,Ecole primaire BUFFAULT,75109,PARIS,75009,75,651770.5,6864232.2045,32 rue Buffault,ECOLE DE NIVEAU ELEMENTAIRE,BUFFAULT,Public
1727,Ecole primaire ETIENNE DOLET,75120,PARIS,75020,75,654911.399999999,6863299.8045,31 rue Etienne Dolet,ECOLE DE NIVEAU ELEMENTAIRE,ETIENNE DOLET,Public
1728,Ecole primaire d'application FERDINAND FLOCON,75118,PARIS,75018,75,652027.200000003,6865903.7045,5 rue Ferdinand Flocon,ECOLE ELEMENTAIRE D APPLICATION,FERDINAND FLOCON,Public
1729,Ecole primaire FESSART,75119,PARIS,75019,75,655158.600000001,6864193.8045,4 rue Fessart,ECOLE DE NIVEAU ELEMENTAIRE,FESSART,Public
1730,Ecole primaire GAMBETTA,75120,PARIS,75020,75,655982.0,6863143.7045,103 avenue Gambetta,ECOLE DE NIVEAU ELEMENTAIRE,GAMBETTA,Public
1731,Ecole primaire BAUCHES H,75116,PARIS,75016,75,646730.399999999,6862015.3045,10 RUE DES BAUCHES,ECOLE DE NIVEAU ELEMENTAIRE,BAUCHES H,Public
1732,Ecole primaire HIPPOLYTE MAINDRON,75114,PARIS,75014,75,650121.899999999,6859141.3045,48 rue Hippolyte Maindron,ECOLE DE NIVEAU ELEMENTAIRE,HIPPOLYTE MAINDRON,Public
1733,Ecole élémentaire J.F LEPINE,75118,PARIS,75018,75,652973.899999999,6865320.6045,6 rue Jean François Lépine,ECOLE DE NIVEAU ELEMENTAIRE,J.F LEPINE,Public
1734,Ecole primaire JOUFFROY,75117,PARIS,75017,75,649466.700000003,6865385.2045,20 rue Jouffroy d'Abbans,ECOLE DE NIVEAU ELEMENTAIRE,JOUFFROY,Public
