objectid,nom,commune_name,postal_code,department_code,x_coord,y_coord,adresse_ua,denominati,patronyme
1320,Collège privé Saint Louis,PARIS,75018,75,651590.799999997,6866224.0045,47 rue Montcalm,COLLEGE PRIVE,SAINT-LOUIS
1321,Collège Claude Chappe,PARIS,75019,75,654919.700000003,6864341.9045,9 rue des Alouettes,COLLEGE,CLAUDE CHAPPE
1322,Collège privé Georges Gusdorf,PARIS,75015,75,649233.5,6859439.7045,50 rue CASTAGNARY,COLLEGE PRIVE,GEORGES GUSDORF
1323,Ecole générale et technologique privée Cours Progress,PARIS,75003,75,653501.600000001,6862422.7045,10 rue Saint Claude,COLLEGE PRIVE,COURS PRIVE PROGRESS
1324,Collège privé Ecole Démocratique de Paris,PARIS,75019,75,654640.200000003,6865432.5045,6 rue Léon Giraud,COLLEGE,ECOLE DEMOCRATIQUE DE PARIS
1371,Collège Privé Catherine Labouré,PARIS,75014,75,650570.200000003,6859541.2045,29 rue GASSENDI,COLLEGE,CATHERINE LABOURE
1376,Collège Janson de Sailly - Site Eugène Delacroix,PARIS,75016,75,647018.799999997,6862749.5045,13 rue EUGENE DELACROIX,COLLEGE,JANSON DE SAILLY - SITE EUGÈNE DELACROIX
1377,Ecole internationale Bilingue section Monceau,PARIS,75017,75,648707.899999999,6864758.4045,16 rue MARGUERITE,COLLEGE PRIVE,E. INTER. BILINGU SECT MONCEAU
1378,Collège privé Notre-Dame de France,PARIS,75013,75,651651.899999999,6859424.0045,63 RUE DE LA SANTE,COLLEGE PRIVE,NOTRE-DAME DE FRANCE
1379,Collège privé Stanislas,PARIS,75006,75,650661.0,6860839.5045,22 RUE NOTRE DAME DES CHAMPS,COLLEGE PRIVE,STANISLAS
1380,Collège privé Yabné,PARIS,75013,75,653168.399999999,6857725.6045,29 AVENUE LEON BOLLEE,COLLEGE PRIVE,YABNE
1381,Collège privé Saint Pierre Fourier,PARIS,75012,75,654196.399999999,6861256.0045,13 RUE DE PRAGUE,COLLEGE PRIVE,E. NAPOLEON ST PIERRE FOURIER
1382,Collège privé L'Alma,PARIS,75007,75,648833.5,6862479.3045,12 AVENUE BOSQUET,COLLEGE PRIVE,L'ALMA
1383,Collège privé Notre-Dame des Oiseaux,PARIS,75016,75,645911.799999997,6860995.1045,12 RUE MICHEL ANGE,COLLEGE PRIVE,NOTRE-DAME DES OISEAUX
1384,Collège privé Saint Michel des Batignolles,PARIS,75017,75,650598.0,6865729.2045,35 AVENUE DE SAINT OUEN,COLLEGE PRIVE,SAINT-MICHEL DES BATIGNOLLES
1385,Collège privé pour handicapés Votre Ecole chez vous,PARIS,75011,75,654861.0,6862551.3045,29 RUE MERLIN,COLLEGE PRIVE HANDICAPES,VOTRE ECOLE CHEZ VOUS
1386,Collège privé Beth Hanna,PARIS,75019,75,654929.399999999,6865223.9045,49 RUE PETIT,COLLEGE PRIVE,BETH HANNA
1387,Collège privé Saint Vincent,PARIS,75018,75,652473.5,6866339.4045,8 RUE CHAMPIONNET,COLLEGE PRIVE,SAINT-VINCENT
1388,Collège privé La Bruyère-Sainte Isabelle,PARIS,75014,75,650001.0,6858922.3045,66 RUE DE L'ABBE CARTON,COLLEGE PRIVE,LA BRUYERE-SAINTE-ISABELLE
1389,Collège privé Saint Jean Gabriel,PARIS,75004,75,652438.700000003,6862343.9045,8 RUE DU CLOITRE SAINT MERRI,COLLEGE PRIVE,SAINT JEAN GABRIEL
1390,Collège privé Saint Ambroise,PARIS,75011,75,654295.0,6862811.4045,11 PASSAGE SAINT AMBROISE,COLLEGE PRIVE,SAINT-AMBROISE
1391,Collège privé Saint Honoré d'Eylau,PARIS,75016,75,647614.299999997,6863365.9045,66 AVENUE RAYMOND POINCARE,COLLEGE PRIVE,SAINT-HONORE D'EYLAU
